car_id,worker_id,fix_date,work_type,destroy_degree,work_duration
N-1530212S,LM,2020-2-9 20:25,repair,10.0,48
l-1139189J,PO,2020-3-2 19:11,reparking,1.0,28
u29695600e,QN,2020-2-2 20:10,reparking,10.0,64
h16895544p,PK,2020-2-4 22:30,repair,4.3,7
N18554472N,GL,2020-2-3 22:42,repair,4.7,11
T-2633971l,NY,2020-2-5 15:40,repair,5.0,23
s-2136281x,LN,2020-2-7 7:29,reparking,1.0,25
x12753662A,VT,2020-3-16 22:11,reparking,1.0,25
m-8965256V,VK,2020-1-19 1:6,reparking,1.0,21
D-2109758O,FL,2020-1-3 13:48,reparking,1.0,29
d-1257449w,YR,2020-2-12 1:25,reparking,10.0,66
k63904133P,DB,2020-1-12 5:38,repair,4.5,9
b-9697936F,YC,2020-3-25 17:16,reparking,1.0,31
E-1356165C,HH,2020-1-12 6:18,repair,6.1,26
w-1481290E,YG,2020-2-26 18:10,reparking,1.0,29
K51907129A,MX,2020-2-11 10:10,refuel_check,1.0,29
q-1403429B,ZT,2020-3-26 16:18,refuel_check,1.0,31
C-1374739x,WO,2020-2-8 7:48,reparking,1.0,25
V-7306183J,UB,2020-2-29 6:29,reparking,1.0,24
T-7878324V,EB,2020-3-19 15:27,refuel_check,9.0,50
a-6471303K,TM,2020-2-10 8:28,reparking,1.0,28
E68314843q,CP,2020-3-23 16:9,repair,3.4,5
E15850759P,SR,2020-2-2 19:7,reparking,1.0,30
y11348057n,TR,2020-1-17 15:32,repair,5.0,18
E-1304820y,PG,2020-2-22 6:13,refuel,1.0,23
u-1594350q,GB,2020-1-29 5:25,repair,5.2,16
s-1723833v,NT,2020-3-25 17:57,repair,5.0,11
g13957568L,BD,2020-1-25 14:23,refuel_check,1.0,32
y33047270r,YN,2020-2-9 10:55,reparking,1.0,27
z20306091J,HY,2020-1-25 15:9,oil_change,1.0,31
S-1965116I,XS,2020-3-4 0:0,refuel_check,1.0,17
v-1578970y,DC,2020-1-24 10:2,repair,3.7,2
i14933910A,CB,2020-2-27 1:14,repair,4.9,18
p15777006h,WO,2020-1-29 16:10,repair,6.0,18
w-8656872Z,OF,2020-2-12 7:9,reparking,5.0,52
A-1463575c,JX,2020-3-5 12:53,repair,3.6,7
I-9353552N,VB,2020-3-3 3:38,reparking,1.0,20
X12788823V,WJ,2020-2-13 22:12,repair,10.0,63
s-4342091J,NX,2020-2-27 2:0,reparking,1.0,25
r43274910O,MD,2020-2-13 7:8,repair,6.9,30
o65053979S,LG,2020-1-6 12:9,repair,4.0,2
e16769908F,UN,2020-3-18 13:16,reparking,5.0,38
X-2198546w,RF,2020-2-9 21:47,repair,7.9,43
G13398649k,VR,2020-1-1 5:2,reparking,1.0,25
h-2832462V,NB,2020-1-2 19:7,refuel_check,1.0,29
U66280408d,AP,2020-3-4 23:18,refuel_check,1.0,24
H72631192M,FZ,2020-1-16 0:12,repair,6.9,41
H22026851l,AN,2020-2-28 21:50,refuel_check,1.0,29
D-1038999X,YX,2020-2-22 10:36,repair,3.6,1
b28088953J,KT,2020-3-4 9:22,reparking,1.0,28
T11166103f,JM,2020-1-3 7:4,reparking,1.0,24
d-1638909M,DO,2020-3-2 10:38,reparking,1.0,29
O-1799431p,KV,2020-3-22 0:22,reparking,1.0,20
m-1140624S,UK,2020-1-21 2:4,reparking,1.0,20
W16150857p,JL,2020-1-9 0:37,reparking,1.0,20
O-4874952L,LB,2020-1-3 22:49,refuel,1.0,23
